+-------+--------+--------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                            URI                                             |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+--------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 26    | GET    | /api/livestream/search?limit=50                                                            | 0.164  | 7.116  | 117.072 | 4.503  | 7.116  |
| 259   | POST   | /api/register                                                                              | 0.004  | 0.424  | 48.064  | 0.186  | 0.360  |
| 79    | POST   | /api/livestream/reservation                                                                | 0.004  | 1.476  | 46.092  | 0.583  | 1.476  |
| 2     | GET    | /api/user/kanasasaki0/statistics                                                           | 20.000 | 20.004 | 40.004  | 20.002 | 20.004 |
| 20    | GET    | /api/livestream/7524/livecomment                                                           | 0.052  | 3.928  | 27.120  | 1.356  | 3.928  |
| 17    | GET    | /api/livestream/7529/livecomment                                                           | 0.324  | 3.452  | 26.064  | 1.533  | 3.452  |
| 19    | GET    | /api/livestream/7524/reaction                                                              | 0.080  | 3.240  | 22.988  | 1.210  | 3.240  |
| 1     | GET    | /api/user/atsushi410/statistics                                                            | 20.000 | 20.000 | 20.000  | 20.000 | 20.000 |
| 1     | GET    | /api/user/kazuyasato0/statistics                                                           | 20.000 | 20.000 | 20.000  | 20.000 | 20.000 |
| 16    | GET    | /api/livestream/7529/reaction                                                              | 0.020  | 3.072  | 18.232  | 1.139  | 3.072  |
| 16    | GET    | /api/livestream/7526/reaction                                                              | 0.012  | 2.660  | 16.080  | 1.005  | 2.660  |
| 13    | GET    | /api/livestream/7531/livecomment                                                           | 0.148  | 2.660  | 15.988  | 1.230  | 2.660  |
| 16    | GET    | /api/livestream/7526/livecomment                                                           | 0.004  | 2.368  | 15.916  | 0.995  | 2.368  |
| 16    | GET    | /api/livestream/7525/reaction                                                              | 0.036  | 2.424  | 15.216  | 0.951  | 2.424  |
| 16    | GET    | /api/livestream/7525/livecomment                                                           | 0.004  | 2.436  | 14.380  | 0.899  | 2.436  |
| 1     | POST   | /api/initialize                                                                            | 13.525 | 13.525 | 13.525  | 13.525 | 13.525 |
| 2     | GET    | /api/livestream/7496/statistics                                                            | 5.708  | 5.824  | 11.532  | 5.766  | 5.824  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB | 11.152 | 11.152 | 11.152  | 11.152 | 11.152 |
| 1     | GET    | /api/livestream/search?tag=%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC          | 11.036 | 11.036 | 11.036  | 11.036 | 11.036 |
| 12    | GET    | /api/livestream/7532/livecomment                                                           | 0.004  | 1.972  | 10.948  | 0.912  | 1.972  |
| 12    | GET    | /api/livestream/7531/reaction                                                              | 0.008  | 2.376  | 10.900  | 0.908  | 2.376  |
| 9     | GET    | /api/livestream/7530/livecomment                                                           | 0.428  | 2.196  | 10.672  | 1.186  | 2.196  |
| 2     | POST   | /api/livestream/7528/moderate                                                              | 3.420  | 6.952  | 10.372  | 5.186  | 6.952  |
| 11    | GET    | /api/livestream/7540/livecomment                                                           | 0.008  | 1.848  | 9.968   | 0.906  | 1.848  |
| 255   | POST   | /api/icon                                                                                  | 0.012  | 0.140  | 9.628   | 0.038  | 0.116  |
| 11    | GET    | /api/livestream/7532/reaction                                                              | 0.008  | 2.088  | 9.560   | 0.869  | 2.088  |
| 2     | GET    | /api/user/suzukitsubasa0/statistics                                                        | 4.640  | 4.784  | 9.424   | 4.712  | 4.784  |
| 13    | GET    | /api/livestream/7522/reaction                                                              | 0.096  | 1.604  | 9.188   | 0.707  | 1.604  |
| 13    | GET    | /api/livestream/7522/livecomment                                                           | 0.004  | 1.580  | 9.012   | 0.693  | 1.580  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E4%BD%9C%E3%82%B2%E3%83%BC%E3%83%A0                   | 8.812  | 8.812  | 8.812   | 8.812  | 8.812  |
| 1     | GET    | /api/livestream/search?tag=%E5%81%A5%E5%BA%B7                                              | 8.740  | 8.740  | 8.740   | 8.740  | 8.740  |
| 1     | GET    | /api/livestream/search?tag=%E5%AF%BE%E6%88%A6%E3%82%B2%E3%83%BC%E3%83%A0                   | 8.684  | 8.684  | 8.684   | 8.684  | 8.684  |
| 11    | GET    | /api/livestream/7540/reaction                                                              | 0.008  | 1.856  | 8.312   | 0.756  | 1.856  |
| 10    | GET    | /api/livestream/7523/livecomment                                                           | 0.084  | 1.596  | 8.120   | 0.812  | 1.596  |
| 10    | GET    | /api/livestream/7533/livecomment                                                           | 0.024  | 1.760  | 7.996   | 0.800  | 1.760  |
| 10    | GET    | /api/livestream/7533/reaction                                                              | 0.004  | 1.600  | 7.708   | 0.771  | 1.600  |
| 10    | GET    | /api/livestream/7541/livecomment                                                           | 0.012  | 1.724  | 7.312   | 0.731  | 1.724  |
| 9     | GET    | /api/livestream/7528/livecomment                                                           | 0.004  | 1.452  | 6.808   | 0.756  | 1.452  |
| 9     | GET    | /api/livestream/7541/reaction                                                              | 0.008  | 1.584  | 6.504   | 0.723  | 1.584  |
| 9     | GET    | /api/livestream/7530/reaction                                                              | 0.004  | 1.520  | 6.224   | 0.692  | 1.520  |
| 68    | GET    | /api/livestream                                                                            | 0.012  | 0.592  | 6.136   | 0.090  | 0.592  |
| 9     | GET    | /api/livestream/7527/livecomment                                                           | 0.008  | 1.376  | 6.016   | 0.668  | 1.376  |
| 1     | POST   | /api/livestream/7540/moderate                                                              | 4.660  | 4.660  | 4.660   | 4.660  | 4.660  |
| 1     | POST   | /api/livestream/7525/moderate                                                              | 4.528  | 4.528  | 4.528   | 4.528  | 4.528  |
| 19    | POST   | /api/livestream/7529/livecomment                                                           | 0.140  | 0.336  | 4.316   | 0.227  | 0.336  |
| 1     | POST   | /api/livestream/7537/moderate                                                              | 4.300  | 4.300  | 4.300   | 4.300  | 4.300  |
| 1     | POST   | /api/livestream/7527/moderate                                                              | 4.240  | 4.240  | 4.240   | 4.240  | 4.240  |
| 9     | GET    | /api/livestream/7528/reaction                                                              | 0.004  | 0.932  | 4.100   | 0.456  | 0.932  |
| 19    | POST   | /api/livestream/7524/livecomment                                                           | 0.124  | 0.356  | 4.064   | 0.214  | 0.356  |
| 9     | GET    | /api/livestream/7527/reaction                                                              | 0.004  | 1.088  | 4.060   | 0.451  | 1.088  |
| 9     | GET    | /api/livestream/7523/reaction                                                              | 0.004  | 0.976  | 3.972   | 0.441  | 0.976  |
| 1     | POST   | /api/livestream/7534/moderate                                                              | 3.880  | 3.880  | 3.880   | 3.880  | 3.880  |
