+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                     URI                                                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 806   | GET    | /api/livestream/\d+/livecomment                                                                              | 0.004  | 1.480  | 307.346 | 0.381  | 1.344  |
| 877   | GET    | /api/livestream/\d+/reaction                                                                                 | 0.004  | 1.556  | 292.074 | 0.333  | 1.268  |
| 19    | GET    | /api/user/.+/statistics                                                                                      | 0.632  | 20.000 | 248.714 | 13.090 | 20.000 |
| 40    | POST   | /api/livestream/\d+/moderate                                                                                 | 0.208  | 15.948 | 228.502 | 5.713  | 15.948 |
| 894   | POST   | /api/livestream/\d+/livecomment                                                                              | 0.004  | 0.340  | 111.598 | 0.125  | 0.244  |
| 395   | POST   | /api/register                                                                                                | 0.004  | 0.524  | 99.774  | 0.253  | 0.512  |
| 8376  | GET    | /api/user/.+/icon                                                                                            | 0.004  | 0.152  | 90.520  | 0.011  | 0.040  |
| 157   | POST   | /api/livestream/reservation                                                                                  | 0.004  | 1.584  | 88.358  | 0.563  | 1.524  |
| 87    | GET    | /api/livestream/search?limit=50                                                                              | 0.044  | 1.616  | 85.431  | 0.982  | 1.616  |
| 761   | POST   | /api/livestream/\d+/reaction                                                                                 | 0.008  | 0.176  | 29.573  | 0.039  | 0.120  |
| 2     | POST   | /api/initialize                                                                                              | 12.872 | 13.544 | 26.416  | 13.208 | 13.544 |
| 4     | GET    | /api/livestream/.+/statistics                                                                                | 4.280  | 5.800  | 20.320  | 5.080  | 5.800  |
| 389   | POST   | /api/icon                                                                                                    | 0.012  | 0.276  | 15.552  | 0.040  | 0.132  |
| 212   | GET    | /api/livestream                                                                                              | 0.012  | 0.428  | 7.876   | 0.037  | 0.192  |
| 68    | GET    | /api/livestream/\d+/ngwords                                                                                  | 0.008  | 0.152  | 5.012   | 0.074  | 0.152  |
| 405   | POST   | /api/login                                                                                                   | 0.004  | 0.140  | 4.436   | 0.011  | 0.040  |
| 104   | GET    | /api/livestream/\d+/report                                                                                   | 0.044  | 1.012  | 4.176   | 0.040  | 0.496  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%BC%E3%83%88                                     | 0.164  | 3.048  | 3.212   | 1.606  | 3.048  |
| 3     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                                | 0.168  | 2.404  | 2.760   | 0.920  | 2.404  |
| 1     | GET    | /api/livestream/search?tag=%E8%AA%9E%E5%AD%A6%E5%AD%A6%E7%BF%92                                              | 2.648  | 2.648  | 2.648   | 2.648  | 2.648  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%E3%82%BA                                     | 0.132  | 2.416  | 2.548   | 1.274  | 2.416  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A8%E3%82%AC                                                                | 2.512  | 2.512  | 2.512   | 2.512  | 2.512  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9                                              | 2.352  | 2.352  | 2.352   | 2.352  | 2.352  |
| 2     | GET    | /api/livestream/search?tag=%E6%96%87%E5%8C%96                                                                | 0.148  | 2.008  | 2.156   | 1.078  | 2.008  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB                   | 2.080  | 2.080  | 2.080   | 2.080  | 2.080  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%9B%E3%83%A9%E3%83%BC%E3%82%B2%E3%83%BC%E3%83%A0                            | 1.940  | 1.940  | 1.940   | 1.940  | 1.940  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%89%E3%83%90%E3%82%A4%E3%82%B9                                     | 1.896  | 1.896  | 1.896   | 1.896  | 1.896  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B7%E3%83%B3%E3%82%B0%E3%83%AB%E3%83%97%E3%83%AC%E3%82%A4                   | 1.756  | 1.756  | 1.756   | 1.756  | 1.756  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%BC%E3%83%88%E9%85%8D%E4%BF%A1                                     | 1.724  | 1.724  | 1.724   | 1.724  | 1.724  |
| 1     | GET    | /api/livestream/search?tag=%E6%98%A0%E7%94%BB%E3%83%AC%E3%83%93%E3%83%A5%E3%83%BC                            | 1.716  | 1.716  | 1.716   | 1.716  | 1.716  |
| 77    | POST   | /api/livestream/\d+/enter                                                                                    | 0.008  | 0.172  | 1.680   | 0.022  | 0.172  |
| 1     | GET    | /api/livestream/search?tag=Q%26A%E3%82%BB%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3                                | 1.280  | 1.280  | 1.280   | 1.280  | 1.280  |
| 63    | DELETE | /api/livestream/\d+/exit                                                                                     | 0.004  | 0.056  | 1.260   | 0.020  | 0.056  |
| 122   | GET    | /api/tag                                                                                                     | 0.000  | 0.100  | 1.152   | 0.009  | 0.040  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%95%E3%82%A1%E3%83%B3%E3%83%9F%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0 | 1.048  | 1.048  | 1.048   | 1.048  | 1.048  |
| 2     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                                     | 0.152  | 0.172  | 0.324   | 0.162  | 0.172  |
| 17    | GET    | /api/user/.+/theme                                                                                           | 0.008  | 0.040  | 0.228   | 0.013  | 0.040  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0                   | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB          | 0.148  | 0.148  | 0.148   | 0.148  | 0.148  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%88%E3%83%BC%E3%82%AF%E9%85%8D%E4%BF%A1                                     | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%94%E3%82%A2%E3%83%8E                                                       | 0.140  | 0.140  | 0.140   | 0.140  | 0.140  |
| 1     | GET    | /api/livestream/search?tag=%E6%8A%95%E8%B3%87                                                                | 0.140  | 0.140  | 0.140   | 0.140  | 0.140  |
| 1     | GET    | /api/livestream/search?tag=%E7%B5%B5%E6%8F%8F%E3%81%8D                                                       | 0.140  | 0.140  | 0.140   | 0.140  | 0.140  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%A2%E3%82%A6%E3%83%88                            | 0.136  | 0.136  | 0.136   | 0.136  | 0.136  |
| 1     | GET    | /api/livestream/search?tag=DIY                                                                               | 0.132  | 0.132  | 0.132   | 0.132  | 0.132  |
