+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 385   | GET    | /api/livestream/\d+/livecomment                                                                     | 0.004  | 1.708  | 169.628 | 0.441  | 1.584  |
| 417   | GET    | /api/livestream/\d+/reaction                                                                        | 0.004  | 1.880  | 153.656 | 0.368  | 1.448  |
| 8     | GET    | /api/user/.+/statistics                                                                             | 3.268  | 20.004 | 119.984 | 14.998 | 20.004 |
| 23    | POST   | /api/livestream/\d+/moderate                                                                        | 0.208  | 14.448 | 116.668 | 5.073  | 14.448 |
| 429   | POST   | /api/livestream/\d+/livecomment                                                                     | 0.008  | 0.300  | 55.536  | 0.129  | 0.240  |
| 209   | POST   | /api/register                                                                                       | 0.004  | 0.444  | 48.728  | 0.233  | 0.440  |
| 79    | POST   | /api/livestream/reservation                                                                         | 0.232  | 1.640  | 45.196  | 0.572  | 1.640  |
| 34    | GET    | /api/livestream/search?limit=50                                                                     | 0.056  | 2.092  | 43.120  | 1.268  | 2.092  |
| 3517  | GET    | /api/user/.+/icon                                                                                   | 0.004  | 0.156  | 36.704  | 0.010  | 0.044  |
| 360   | POST   | /api/livestream/\d+/reaction                                                                        | 0.008  | 0.160  | 13.512  | 0.038  | 0.108  |
| 1     | POST   | /api/initialize                                                                                     | 12.184 | 12.184 | 12.184  | 12.184 | 12.184 |
| 2     | GET    | /api/livestream/.+/statistics                                                                       | 5.704  | 5.760  | 11.464  | 5.732  | 5.760  |
| 208   | POST   | /api/icon                                                                                           | 0.001  | 0.180  | 7.697   | 0.037  | 0.120  |
| 70    | GET    | /api/livestream                                                                                     | 0.012  | 0.212  | 5.148   | 0.074  | 0.212  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AB%E3%83%90%E3%83%BC%E3%82%BD%E3%83%B3%E3%82%B0                   | 2.660  | 2.660  | 2.660   | 2.660  | 2.660  |
| 1     | GET    | /api/livestream/search?tag=%E5%91%A8%E5%B9%B4%E8%A8%98%E5%BF%B5                                     | 2.640  | 2.640  | 2.640   | 2.640  | 2.640  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E7%B4%B9%E4%BB%8B          | 2.440  | 2.440  | 2.440   | 2.440  | 2.440  |
| 27    | GET    | /api/livestream/\d+/ngwords                                                                         | 0.004  | 0.180  | 2.320   | 0.086  | 0.180  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%A1%E3%83%87%E3%82%A3                                     | 2.260  | 2.260  | 2.260   | 2.260  | 2.260  |
| 1     | GET    | /api/livestream/search?tag=%E6%97%85%E8%A1%8C%E8%A8%98                                              | 2.248  | 2.248  | 2.248   | 2.248  | 2.248  |
| 215   | POST   | /api/login                                                                                          | 0.004  | 0.068  | 2.136   | 0.010  | 0.048  |
| 1     | GET    | /api/livestream/search?tag=%E6%A5%BD%E5%99%A8%E6%BC%94%E5%A5%8F                                     | 2.116  | 2.116  | 2.116   | 2.116  | 2.116  |
| 37    | GET    | /api/livestream/\d+/report                                                                          | 0.004  | 0.360  | 1.688   | 0.046  | 0.360  |
| 38    | POST   | /api/livestream/\d+/enter                                                                           | 0.008  | 0.040  | 0.696   | 0.018  | 0.040  |
| 28    | DELETE | /api/livestream/\d+/exit                                                                            | 0.008  | 0.084  | 0.592   | 0.021  | 0.084  |
| 59    | GET    | /api/tag                                                                                            | 0.004  | 0.036  | 0.532   | 0.009  | 0.036  |
| 3     | GET    | /api/livestream/search?tag=%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB | 0.164  | 0.184  | 0.512   | 0.171  | 0.184  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                            | 0.192  | 0.192  | 0.192   | 0.192  | 0.192  |
| 1     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                       | 0.180  | 0.180  | 0.180   | 0.180  | 0.180  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E6%83%85%E5%A0%B1%E7%99%BA%E8%A1%A8                            | 0.168  | 0.168  | 0.168   | 0.168  | 0.168  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%94%E3%82%A2%E3%83%8E                                              | 0.168  | 0.168  | 0.168   | 0.168  | 0.168  |
| 1     | GET    | /api/livestream/search?tag=%E6%8A%95%E8%B3%87                                                       | 0.160  | 0.160  | 0.160   | 0.160  | 0.160  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%97%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%9E%E3%83%BC                   | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  |
| 7     | GET    | /api/user/.+/theme                                                                                  | 0.004  | 0.036  | 0.088   | 0.013  | 0.036  |
| 1     | GET    | /api/livestream/7497                                                                                | 0.024  | 0.024  | 0.024   | 0.024  | 0.024  |
| 3     | GET    | /api/user/me                                                                                        | 0.004  | 0.004  | 0.008   | 0.003  | 0.004  |
| 1     | GET    | /api/payment                                                                                        | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 1     | GET    | /api/user/test                                                                                      | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
