+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 400   | GET    | /api/livestream/\d+/livecomment                                                                     | 0.004  | 1.432  | 156.627 | 0.392  | 1.336  |
| 435   | GET    | /api/livestream/\d+/reaction                                                                        | 0.004  | 1.504  | 143.394 | 0.330  | 1.312  |
| 10    | GET    | /api/user/.+/statistics                                                                             | 1.896  | 20.004 | 127.300 | 12.730 | 20.004 |
| 16    | POST   | /api/livestream/\d+/moderate                                                                        | 0.204  | 12.840 | 96.388  | 6.024  | 12.840 |
| 445   | POST   | /api/livestream/\d+/livecomment                                                                     | 0.004  | 0.308  | 55.856  | 0.126  | 0.264  |
| 51    | GET    | /api/livestream/search?limit=50                                                                     | 0.048  | 1.608  | 50.389  | 0.988  | 1.608  |
| 198   | POST   | /api/register                                                                                       | 0.040  | 0.468  | 49.120  | 0.248  | 0.448  |
| 76    | POST   | /api/livestream/reservation                                                                         | 0.004  | 1.768  | 44.845  | 0.590  | 1.768  |
| 4174  | GET    | /api/user/.+/icon                                                                                   | 0.004  | 0.148  | 42.657  | 0.010  | 0.040  |
| 1     | POST   | /api/initialize                                                                                     | 12.792 | 12.792 | 12.792  | 12.792 | 12.792 |
| 377   | POST   | /api/livestream/\d+/reaction                                                                        | 0.004  | 0.100  | 12.764  | 0.034  | 0.084  |
| 2     | GET    | /api/livestream/.+/statistics                                                                       | 5.672  | 5.776  | 11.448  | 5.724  | 5.776  |
| 92    | GET    | /api/livestream                                                                                     | 0.008  | 0.272  | 7.901   | 0.086  | 0.272  |
| 195   | POST   | /api/icon                                                                                           | 0.016  | 0.252  | 7.400   | 0.038  | 0.196  |
| 1     | GET    | /api/livestream/search?tag=%E6%A0%AA%E5%BC%8F%E6%8A%95%E8%B3%87                                     | 2.776  | 2.776  | 2.776   | 2.776  | 2.776  |
| 40    | GET    | /api/livestream/\d+/ngwords                                                                         | 0.008  | 0.120  | 2.556   | 0.064  | 0.120  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%8B%E3%83%A1%E3%83%88%E3%83%BC%E3%82%AF                   | 2.384  | 2.384  | 2.384   | 2.384  | 2.384  |
| 1     | GET    | /api/livestream/search?tag=%E6%8A%95%E8%B3%87                                                       | 2.272  | 2.272  | 2.272   | 2.272  | 2.272  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AE%E3%82%BF%E3%83%BC                                              | 2.104  | 2.104  | 2.104   | 2.104  | 2.104  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%9E%E3%83%AB%E3%83%81%E3%83%97%E3%83%AC%E3%82%A4                   | 1.956  | 1.956  | 1.956   | 1.956  | 1.956  |
| 203   | POST   | /api/login                                                                                          | 0.004  | 0.060  | 1.940   | 0.010  | 0.032  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%BC%E3%83%88%E9%85%8D%E4%BF%A1                            | 1.624  | 1.624  | 1.624   | 1.624  | 1.624  |
| 1     | GET    | /api/livestream/search?tag=%E5%8D%A0%E3%81%84                                                       | 1.620  | 1.620  | 1.620   | 1.620  | 1.620  |
| 66    | GET    | /api/livestream/\d+/report                                                                          | 0.004  | 0.532  | 1.424   | 0.022  | 0.532  |
| 1     | GET    | /api/livestream/search?tag=%E5%88%9D%E5%BF%83%E8%80%85%E6%AD%93%E8%BF%8E                            | 1.240  | 1.240  | 1.240   | 1.240  | 1.240  |
| 39    | POST   | /api/livestream/\d+/enter                                                                           | 0.008  | 0.064  | 0.676   | 0.017  | 0.064  |
| 32    | DELETE | /api/livestream/\d+/exit                                                                            | 0.004  | 0.056  | 0.564   | 0.018  | 0.056  |
| 58    | GET    | /api/tag                                                                                            | 0.028  | 0.028  | 0.560   | 0.010  | 0.028  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                            | 0.184  | 0.184  | 0.184   | 0.184  | 0.184  |
| 1     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                       | 0.168  | 0.168  | 0.168   | 0.168  | 0.168  |
| 1     | GET    | /api/livestream/search?tag=%E3%81%8A%E6%96%99%E7%90%86%E9%85%8D%E4%BF%A1                            | 0.164  | 0.164  | 0.164   | 0.164  | 0.164  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A8%E3%82%AC                                                       | 0.160  | 0.160  | 0.160   | 0.160  | 0.160  |
| 1     | -      | -                                                                                                   | 0.157  | 0.157  | 0.157   | 0.157  | 0.157  |
| 1     | GET    | /api/livestream/search?tag=%E4%BB%AE%E6%83%B3%E9%80%9A%E8%B2%A8                                     | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84                                     | 0.136  | 0.136  | 0.136   | 0.136  | 0.136  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%B3%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF | 0.128  | 0.128  | 0.128   | 0.128  | 0.128  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E7%B4%B9%E4%BB%8B          | 0.120  | 0.120  | 0.120   | 0.120  | 0.120  |
| 1     | GET    | /api/livestream/search?tag=%E5%AF%BE%E6%88%A6%E3%82%B2%E3%83%BC%E3%83%A0                            | 0.116  | 0.116  | 0.116   | 0.116  | 0.116  |
| 9     | GET    | /api/user/.+/theme                                                                                  | 0.004  | 0.028  | 0.104   | 0.012  | 0.028  |
| 1     | GET    | /api/livestream/7497                                                                                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 1     | GET    | /api/payment                                                                                        | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 1     | GET    | /api/user/test                                                                                      | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
| 1     | GET    | /favicon.ico                                                                                        | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
| 2     | GET    | /                                                                                                   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
| 3     | GET    | /api/user/me                                                                                        | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
