+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 221   | GET    | /api/livestream/\d+/livecomment                                                                     | 0.004  | 3.188  | 176.932 | 0.801  | 2.884  |
| 252   | GET    | /api/livestream/\d+/reaction                                                                        | 0.004  | 3.420  | 162.420 | 0.645  | 2.836  |
| 23    | GET    | /api/livestream/search?limit=50                                                                     | 0.172  | 6.620  | 101.436 | 4.410  | 6.620  |
| 6     | GET    | /api/user/.+/statistics                                                                             | 2.596  | 20.004 | 85.256  | 14.209 | 20.004 |
| 277   | POST   | /api/livestream/\d+/livecomment                                                                     | 0.004  | 0.360  | 51.312  | 0.185  | 0.344  |
| 257   | POST   | /api/register                                                                                       | 0.004  | 0.456  | 47.788  | 0.186  | 0.348  |
| 81    | POST   | /api/livestream/reservation                                                                         | 0.004  | 1.572  | 46.464  | 0.574  | 1.572  |
| 3     | POST   | /api/livestream/7523/moderate                                                                       | 3.624  | 9.552  | 20.336  | 6.779  | 9.552  |
| 1844  | GET    | /api/user/.+/icon                                                                                   | 0.004  | 0.116  | 19.720  | 0.011  | 0.044  |
| 210   | POST   | /api/livestream/\d+/reaction                                                                        | 0.008  | 0.272  | 18.788  | 0.089  | 0.204  |
| 1     | POST   | /api/initialize                                                                                     | 13.444 | 13.444 | 13.444  | 13.444 | 13.444 |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AA%E3%82%AB%E3%83%AB%E3%83%88                                     | 12.000 | 12.000 | 12.000  | 12.000 | 12.000 |
| 2     | GET    | /api/livestream/7496/statistics                                                                     | 5.629  | 5.792  | 11.421  | 5.710  | 5.792  |
| 2     | POST   | /api/livestream/7524/moderate                                                                       | 3.872  | 7.156  | 11.028  | 5.514  | 7.156  |
| 1     | GET    | /api/livestream/search?tag=UFO                                                                      | 10.908 | 10.908 | 10.908  | 10.908 | 10.908 |
| 253   | POST   | /api/icon                                                                                           | 0.012  | 0.176  | 10.000  | 0.040  | 0.128  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%95%E3%82%A1%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3                   | 9.636  | 9.636  | 9.636   | 9.636  | 9.636  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%B3%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF | 8.996  | 8.996  | 8.996   | 8.996  | 8.996  |
| 2     | GET    | /api/livestream/search?tag=%E6%A5%BD%E5%99%A8%E6%BC%94%E5%A5%8F                                     | 0.312  | 7.772  | 8.084   | 4.042  | 7.772  |
| 2     | POST   | /api/livestream/7530/moderate                                                                       | 0.752  | 4.340  | 5.092   | 2.546  | 4.340  |
| 59    | GET    | /api/livestream                                                                                     | 0.012  | 0.280  | 4.852   | 0.082  | 0.280  |
| 1     | POST   | /api/livestream/7541/moderate                                                                       | 4.396  | 4.396  | 4.396   | 4.396  | 4.396  |
| 1     | POST   | /api/livestream/7535/moderate                                                                       | 4.208  | 4.208  | 4.208   | 4.208  | 4.208  |
| 1     | POST   | /api/livestream/7537/moderate                                                                       | 3.972  | 3.972  | 3.972   | 3.972  | 3.972  |
| 1     | POST   | /api/livestream/7527/moderate                                                                       | 3.832  | 3.832  | 3.832   | 3.832  | 3.832  |
| 1     | POST   | /api/livestream/7531/moderate                                                                       | 3.788  | 3.788  | 3.788   | 3.788  | 3.788  |
| 1     | POST   | /api/livestream/7526/moderate                                                                       | 3.676  | 3.676  | 3.676   | 3.676  | 3.676  |
| 1     | POST   | /api/livestream/7536/moderate                                                                       | 3.672  | 3.672  | 3.672   | 3.672  | 3.672  |
| 1     | POST   | /api/livestream/7522/moderate                                                                       | 3.388  | 3.388  | 3.388   | 3.388  | 3.388  |
| 1     | POST   | /api/livestream/7529/moderate                                                                       | 3.224  | 3.224  | 3.224   | 3.224  | 3.224  |
| 2     | GET    | /api/livestream/7530/report                                                                         | 1.348  | 1.412  | 2.760   | 1.380  | 1.412  |
| 1     | POST   | /api/livestream/7543/moderate                                                                       | 2.412  | 2.412  | 2.412   | 2.412  | 2.412  |
| 262   | POST   | /api/login                                                                                          | 0.004  | 0.040  | 2.260   | 0.009  | 0.032  |
