+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                     URI                                                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%BC%E3%83%88%E9%85%8D%E4%BF%A1                                     | 0.376  | 0.376  | 0.376   | 0.376  | 0.376  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E7%B4%B9%E4%BB%8B                   | 0.356  | 0.356  | 0.356   | 0.356  | 0.356  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AE%E3%82%BF%E3%83%BC                                                       | 0.336  | 0.336  | 0.336   | 0.336  | 0.336  |
| 12    | GET    | /api/user/.+/theme                                                                                           | 0.004  | 0.020  | 0.088   | 0.007  | 0.020  |
| 2     | GET    | /api/payment                                                                                                 | 0.008  | 0.036  | 0.044   | 0.022  | 0.036  |
| 6     | GET    | /api/user/me                                                                                                 | 0.004  | 0.012  | 0.028   | 0.005  | 0.012  |
| 2     | GET    | /api/livestream/7497                                                                                         | 0.008  | 0.012  | 0.020   | 0.010  | 0.012  |
| 2     | GET    | /api/user/test                                                                                               | 0.004  | 0.004  | 0.008   | 0.004  | 0.004  |
| 1     | GET    | /                                                                                                            | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
