+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                     URI                                                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 34    | GET    | /api/user/.+/statistics                                                                                      | 0.668  | 20.004 | 473.747 | 13.934 | 20.004 |
| 1761  | GET    | /api/livestream/\d+/livecomment                                                                              | 0.004  | 1.328  | 427.969 | 0.243  | 0.932  |
| 1867  | GET    | /api/livestream/\d+/reaction                                                                                 | 0.004  | 1.304  | 415.442 | 0.223  | 0.888  |
| 243   | GET    | /api/livestream/search?limit=50                                                                              | 0.064  | 2.256  | 322.462 | 1.327  | 2.092  |
| 537   | POST   | /api/register                                                                                                | 0.040  | 1.040  | 296.920 | 0.553  | 0.992  |
| 103   | POST   | /api/livestream/\d+/moderate                                                                                 | 0.052  | 4.228  | 202.339 | 1.964  | 3.652  |
| 13933 | GET    | /api/user/.+/icon                                                                                            | 0.004  | 0.408  | 151.899 | 0.011  | 0.044  |
| 741   | POST   | /api/livestream/reservation                                                                                  | 0.004  | 0.656  | 141.506 | 0.191  | 0.532  |
| 1822  | POST   | /api/livestream/\d+/livecomment                                                                              | 0.004  | 0.476  | 111.593 | 0.061  | 0.128  |
| 4     | POST   | /api/initialize                                                                                              | 11.244 | 41.985 | 89.513  | 22.378 | 41.985 |
| 1646  | POST   | /api/livestream/\d+/reaction                                                                                 | 0.004  | 0.368  | 65.841  | 0.040  | 0.132  |
| 7     | GET    | /api/livestream/.+/statistics                                                                                | 0.572  | 7.380  | 42.576  | 6.082  | 7.380  |
| 579   | POST   | /api/icon                                                                                                    | 0.012  | 1.144  | 22.769  | 0.039  | 0.300  |
| 135   | GET    | /api/livestream                                                                                              | 0.008  | 0.420  | 9.680   | 0.072  | 0.420  |
| 316   | GET    | /api/livestream/\d+/report                                                                                   | 0.004  | 1.184  | 8.124   | 0.026  | 0.564  |
| 694   | GET    | /api/tag                                                                                                     | 0.004  | 0.280  | 7.012   | 0.010  | 0.072  |
| 207   | GET    | /api/livestream/\d+/ngwords                                                                                  | 0.004  | 0.172  | 6.156   | 0.030  | 0.068  |
| 549   | POST   | /api/login                                                                                                   | 0.004  | 0.180  | 5.688   | 0.010  | 0.052  |
| 4     | GET    | /api/livestream/search?tag=%E8%B5%B7%E6%A5%AD                                                                | 0.188  | 1.352  | 3.740   | 0.935  | 1.352  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81                   | 1.384  | 1.820  | 3.204   | 1.602  | 1.820  |
