+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                     URI                                                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
| 2     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%A6%E3%83%88%E3%83%89%E3%82%A2                                     | 1.096  | 1.604  | 2.700   | 1.350  | 1.604  |
| 164   | POST   | /api/livestream/\d+/enter                                                                                    | 0.004  | 0.172  | 2.612   | 0.016  | 0.108  |
| 2     | GET    | /api/livestream/search?tag=%E6%96%87%E5%8C%96                                                                | 1.040  | 1.300  | 2.340   | 1.170  | 1.300  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B2%E3%83%BC%E3%83%A0          | 2.212  | 2.212  | 2.212   | 2.212  | 2.212  |
| 1     | GET    | /api/livestream/search?tag=%E6%89%8B%E7%9B%B8                                                                | 2.160  | 2.160  | 2.160   | 2.160  | 2.160  |
| 2     | GET    | /api/livestream/search?tag=%E6%97%A5%E5%B8%B8%E8%A9%B1                                                       | 0.860  | 1.232  | 2.092   | 1.046  | 1.232  |
| 4     | GET    | /api/livestream/search?tag=%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2                   | 0.156  | 1.564  | 2.052   | 0.513  | 1.564  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%BC%E3%83%88                                     | 0.260  | 1.748  | 2.008   | 1.004  | 1.748  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%95%E3%82%A1%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3                            | 2.008  | 2.008  | 2.008   | 2.008  | 2.008  |
| 1     | GET    | /api/livestream/search?tag=%E5%91%A8%E5%B9%B4%E8%A8%98%E5%BF%B5                                              | 2.000  | 2.000  | 2.000   | 2.000  | 2.000  |
| 142   | DELETE | /api/livestream/\d+/exit                                                                                     | 0.004  | 0.048  | 1.996   | 0.014  | 0.036  |
| 1     | GET    | /api/livestream/search?tag=%E5%AF%BE%E6%88%A6%E3%82%B2%E3%83%BC%E3%83%A0                                     | 1.681  | 1.681  | 1.681   | 1.681  | 1.681  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E7%B4%B9%E4%BB%8B                   | 0.188  | 1.460  | 1.648   | 0.824  | 1.460  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E4%BD%9C%E3%82%B2%E3%83%BC%E3%83%A0                                     | 1.588  | 1.588  | 1.588   | 1.588  | 1.588  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%E3%82%BA                                     | 1.572  | 1.572  | 1.572   | 1.572  | 1.572  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AC%E3%82%B7%E3%83%94%E7%B4%B9%E4%BB%8B                                     | 1.512  | 1.512  | 1.512   | 1.512  | 1.512  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0                   | 1.504  | 1.504  | 1.504   | 1.504  | 1.504  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%B3%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF          | 1.497  | 1.497  | 1.497   | 1.497  | 1.497  |
| 2     | GET    | /api/livestream/search?tag=%E7%94%9F%E8%AA%95%E7%A5%AD                                                       | 0.172  | 1.296  | 1.468   | 0.734  | 1.296  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97                                              | 1.436  | 1.436  | 1.436   | 1.436  | 1.436  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC                                              | 1.320  | 1.320  | 1.320   | 1.320  | 1.320  |
| 1     | GET    | /api/livestream/search?tag=%E9%83%BD%E5%B8%82%E4%BC%9D%E8%AA%AC                                              | 1.252  | 1.252  | 1.252   | 1.252  | 1.252  |
| 5     | GET    | /api/user/atanaka0/livestream                                                                                | 0.084  | 0.408  | 1.232   | 0.246  | 0.408  |
| 1     | GET    | /api/livestream/search?tag=%E6%AD%8C%E9%85%8D%E4%BF%A1                                                       | 1.232  | 1.232  | 1.232   | 1.232  | 1.232  |
| 3     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                                | 0.192  | 0.244  | 0.676   | 0.225  | 0.244  |
| 3     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                                     | 0.208  | 0.244  | 0.668   | 0.223  | 0.244  |
| 1     | GET    | /api/livestream/search?tag=%E7%A7%91%E5%AD%A6                                                                | 0.568  | 0.568  | 0.568   | 0.568  | 0.568  |
| 2     | GET    | /api/livestream/search?tag=%E7%94%9F%E6%94%BE%E9%80%81                                                       | 0.200  | 0.224  | 0.424   | 0.212  | 0.224  |
| 1     | GET    | /api/user/mikimatsuda0/livestream                                                                            | 0.384  | 0.384  | 0.384   | 0.384  | 0.384  |
| 1     | GET    | /api/user/iyamamoto1/livestream                                                                              | 0.356  | 0.356  | 0.356   | 0.356  | 0.356  |
| 2     | GET    | /api/livestream/search?tag=%E5%88%9D%E5%BF%83%E8%80%85%E6%AD%93%E8%BF%8E                                     | 0.148  | 0.184  | 0.332   | 0.166  | 0.184  |
| 1     | GET    | /api/user/satomigoto0/livestream                                                                             | 0.328  | 0.328  | 0.328   | 0.328  | 0.328  |
| 31    | GET    | /api/user/.+/theme                                                                                           | 0.004  | 0.024  | 0.316   | 0.010  | 0.024  |
| 1     | GET    | /api/user/yuitakahashi0/livestream                                                                           | 0.304  | 0.304  | 0.304   | 0.304  | 0.304  |
| 1     | GET    | /api/livestream/search?tag=%E4%B8%8D%E5%8B%95%E7%94%A3                                                       | 0.244  | 0.244  | 0.244   | 0.244  | 0.244  |
| 1     | GET    | /api/livestream/search?tag=UFO                                                                               | 0.236  | 0.236  | 0.236   | 0.236  | 0.236  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%95%E3%82%A1%E3%83%B3%E3%83%9F%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0 | 0.236  | 0.236  | 0.236   | 0.236  | 0.236  |
| 1     | GET    | /api/livestream/search?tag=FPS                                                                               | 0.224  | 0.224  | 0.224   | 0.224  | 0.224  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC                            | 0.208  | 0.208  | 0.208   | 0.208  | 0.208  |
| 1     | GET    | /api/livestream/search?tag=%E5%AE%87%E5%AE%99                                                                | 0.200  | 0.200  | 0.200   | 0.200  | 0.200  |
| 1     | GET    | /api/user/ryosuke290/livestream                                                                              | 0.188  | 0.188  | 0.188   | 0.188  | 0.188  |
| 1     | GET    | /api/livestream/search?tag=DIY%E9%9B%BB%E5%AD%90%E5%B7%A5%E4%BD%9C                                           | 0.180  | 0.180  | 0.180   | 0.180  | 0.180  |
| 1     | GET    | /api/livestream/search?tag=DIY                                                                               | 0.180  | 0.180  | 0.180   | 0.180  | 0.180  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%97%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%9E%E3%83%BC                            | 0.176  | 0.176  | 0.176   | 0.176  | 0.176  |
| 1     | GET    | /api/livestream/search?tag=Q%26A%E3%82%BB%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3                                | 0.160  | 0.160  | 0.160   | 0.160  | 0.160  |
| 1     | GET    | /api/user/kanasasaki0/livestream                                                                             | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  |
| 1     | GET    | /api/user/kazuya580/livestream                                                                               | 0.124  | 0.124  | 0.124   | 0.124  | 0.124  |
| 9     | GET    | /api/user/me                                                                                                 | 0.000  | 0.004  | 0.020   | 0.002  | 0.004  |
| 3     | GET    | /api/livestream/7497                                                                                         | 0.004  | 0.008  | 0.020   | 0.007  | 0.008  |
| 3     | GET    | /api/payment                                                                                                 | 0.012  | 0.012  | 0.020   | 0.007  | 0.012  |
| 3     | GET    | /api/user/test                                                                                               | 0.004  | 0.004  | 0.012   | 0.004  | 0.004  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AC%E3%83%88%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0                            | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
