+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 402   | GET    | /api/livestream/\d+/livecomment                                                                     | 0.004  | 1.456  | 148.392 | 0.369  | 1.252  |
| 11    | GET    | /api/user/.+/statistics                                                                             | 2.604  | 20.000 | 142.460 | 12.951 | 20.000 |
| 437   | GET    | /api/livestream/\d+/reaction                                                                        | 0.004  | 1.448  | 129.954 | 0.297  | 1.188  |
| 20    | POST   | /api/livestream/\d+/moderate                                                                        | 0.216  | 18.668 | 122.489 | 6.124  | 18.668 |
| 473   | POST   | /api/livestream/\d+/livecomment                                                                     | 0.004  | 0.348  | 61.629  | 0.130  | 0.288  |
| 198   | POST   | /api/register                                                                                       | 0.008  | 0.480  | 49.041  | 0.248  | 0.464  |
| 4326  | GET    | /api/user/.+/icon                                                                                   | 0.004  | 0.184  | 47.104  | 0.011  | 0.044  |
| 75    | POST   | /api/livestream/reservation                                                                         | 0.004  | 1.632  | 44.085  | 0.588  | 1.632  |
| 34    | GET    | /api/livestream/search?limit=50                                                                     | 0.048  | 1.560  | 31.937  | 0.939  | 1.560  |
| 376   | POST   | /api/livestream/\d+/reaction                                                                        | 0.008  | 0.176  | 13.976  | 0.037  | 0.116  |
| 1     | POST   | /api/initialize                                                                                     | 13.368 | 13.368 | 13.368  | 13.368 | 13.368 |
| 2     | GET    | /api/livestream/.+/statistics                                                                       | 5.708  | 5.752  | 11.460  | 5.730  | 5.752  |
| 195   | POST   | /api/icon                                                                                           | 0.012  | 0.180  | 7.752   | 0.040  | 0.132  |
| 93    | GET    | /api/livestream                                                                                     | 0.012  | 0.344  | 6.604   | 0.071  | 0.344  |
| 2     | GET    | /api/livestream/search?tag=%E3%83%88%E3%83%BC%E3%82%AF%E9%85%8D%E4%BF%A1                            | 1.784  | 2.316  | 4.100   | 2.050  | 2.316  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%87%E5%8C%96                                                       | 2.500  | 2.500  | 2.500   | 2.500  | 2.500  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2          | 2.376  | 2.376  | 2.376   | 2.376  | 2.376  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B2%E3%83%BC%E3%83%A0 | 0.148  | 2.172  | 2.320   | 1.160  | 2.172  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%82%A6%E3%83%88%E3%83%89%E3%82%A2                            | 2.296  | 2.296  | 2.296   | 2.296  | 2.296  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC                   | 2.144  | 2.144  | 2.144   | 2.144  | 2.144  |
| 204   | POST   | /api/login                                                                                          | 0.004  | 0.036  | 2.088   | 0.010  | 0.036  |
| 1     | GET    | /api/livestream/search?tag=%E7%94%9F%E8%AA%95%E7%A5%AD                                              | 1.916  | 1.916  | 1.916   | 1.916  | 1.916  |
| 1     | GET    | /api/livestream/search?tag=%E5%81%A5%E5%BA%B7                                                       | 1.852  | 1.852  | 1.852   | 1.852  | 1.852  |
| 24    | GET    | /api/livestream/\d+/ngwords                                                                         | 0.008  | 0.188  | 1.608   | 0.067  | 0.188  |
| 34    | GET    | /api/livestream/\d+/report                                                                          | 0.008  | 0.232  | 0.948   | 0.028  | 0.232  |
| 43    | POST   | /api/livestream/\d+/enter                                                                           | 0.004  | 0.064  | 0.856   | 0.020  | 0.064  |
| 37    | DELETE | /api/livestream/\d+/exit                                                                            | 0.004  | 0.056  | 0.664   | 0.018  | 0.056  |
| 59    | GET    | /api/tag                                                                                            | 0.004  | 0.040  | 0.548   | 0.009  | 0.040  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                            | 0.176  | 0.176  | 0.176   | 0.176  | 0.176  |
| 1     | GET    | /api/livestream/search?tag=%E7%A7%91%E5%AD%A6                                                       | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  |
| 1     | GET    | /api/livestream/search?tag=%E8%A8%98%E5%BF%B5%E9%85%8D%E4%BF%A1                                     | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  |
| 1     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                       | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  |
| 1     | GET    | /api/livestream/search?tag=%E6%97%A5%E5%B8%B8%E8%A9%B1                                              | 0.128  | 0.128  | 0.128   | 0.128  | 0.128  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%A1%E3%83%87%E3%82%A3                                     | 0.124  | 0.124  | 0.124   | 0.124  | 0.124  |
| 10    | GET    | /api/user/.+/theme                                                                                  | 0.004  | 0.028  | 0.120   | 0.012  | 0.028  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%AE%E3%82%BF%E3%83%BC                                              | 0.116  | 0.116  | 0.116   | 0.116  | 0.116  |
| 1     | GET    | /api/livestream/search?tag=%E6%A5%BD%E5%99%A8%E6%BC%94%E5%A5%8F                                     | 0.112  | 0.112  | 0.112   | 0.112  | 0.112  |
| 1     | GET    | /api/livestream/7497                                                                                | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  |
| 1     | GET    | /api/payment                                                                                        | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  |
| 3     | GET    | /api/user/me                                                                                        | 0.004  | 0.004  | 0.008   | 0.003  | 0.004  |
| 1     | GET    | /api/user/test                                                                                      | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
| 1     | GET    | /api/v1/timestamp                                                                                   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
